cano_smiles,endpoint,set_split
O=C(O)c1cn(Cc2ccc(-c3ccc(F)nc3)cn2)c2c(F)cccc2c1=O,0.976,valid
COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)O)C(=O)OC2,0.975,valid
C[C@H](CO)Nc1nc(SCc2cccc(F)c2F)nc2nc(N)sc12,0.974,valid
CC(C)(Oc1ccc(Cl)cc1)C(=O)O,0.973333333,valid
c1cn2cc(-c3ccc4cn[nH]c4c3)nc(Nc3ccc(N4CCOCC4)cc3)c2n1,0.973,valid
O=C(NCc1ccc(S(=O)(=O)c2cc(F)cc(F)c2)cc1)c1cc2cnccc2[nH]1,0.972,valid
O=C(O)c1cn(Cc2cnc(-c3ccccc3)cn2)c2c(F)cccc2c1=O,0.971,valid
CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,0.97,valid
Fc1ccc([C@@H]2CN(CCc3ccccc3)CC[C@H]2c2cc(-c3ccc(Cl)cc3)n[nH]2)cc1,0.97,valid
CCNCC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,0.97,valid
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,0.97,valid
COc1cc2c(cc1O)CCN[C@]21CS[C@@H]2c3c(OC(C)=O)c(C)c4c(c3[C@H](COC1=O)N1[C@@H](O)[C@@H]3Cc5cc(C)c(OC)c(O)c5[C@H]([C@H]21)N3C)OCO4,0.97,valid
C[C@]1(c2ccc(OC(F)(F)F)cc2)C[C@](O)(c2ccccn2)CO1,0.97,valid
Cc1ncc2c(c1O)COC2c1ccc(Cl)cc1,0.97,valid
CCNC(=O)Nc1ccc(-c2nc3c(c(N4CCOC[C@@H]4C)n2)CCN(c2nc(C)ns2)C3)cc1,0.97,valid
CC(C)CC(NC(=O)C(CCc1ccccc1)NC(=O)CN1CCOCC1)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(C)C)C(=O)C1(C)CO1,0.97,valid
Cc1noc2c(Cl)c3c(cc12)CC1(C(=O)NC(=O)NC1=O)C1C(C)OC(C)CN31,0.97,valid
N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,0.97,valid
O=C1c2cc([N+](=O)[O-])ccc2-n2c1nc1ccccc1c2=O,0.969,valid
[3H]C(C1=C(C)c2ccc(OCc3ccc(CCC)cc3OC)cc2CC1)N1CC(C(=O)O)C1,0.968,valid
COc1cc(N2CCN(C(C)=O)CC2)ccc1Nc1ncc(Cl)c(-c2cnc3ccccn23)n1,0.967,valid
CC(C)(C)NC(=O)[C@@H](c1cccnc1)N(C(=O)c1ccco1)c1ccc(C(C)(C)C)cc1,0.967,valid
COc1ccc2c(c1)N(C[C@H](C)CN(C)C)c1ccccc1S2,0.966,valid
C[C@@](C(=O)O[C@H]1C[N+]2(CCc3cccc(Cl)c3)CCC1CC2)(c1ccccc1)N1CCCCC1,0.965,valid
O=C(O)c1cn(Cc2ccc(-c3ccnc(Cl)c3)cn2)c2c(F)cccc2c1=O,0.965,valid
CCN1CCN(CC(=O)Nc2ccc(-c3cccc4c(=O)cc(N5CCOCC5)oc34)c3sc4ccccc4c23)CC1,0.964,valid
COc1ccc(C23c4ccccc4C(=O)N2CCN3C(=O)c2ccc(F)c(F)c2)cc1,0.963,valid
C[C@@H](NC(=O)C1CCCCN1C)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1,0.962,valid
COCCCOc1ccnc(CS(=O)c2nc3ccccc3[nH]2)c1C,0.9615,valid
CCCc1nn(C)c2c(O)nc(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,0.96,valid
Cc1ccsc1C(=CCCN1CCCC(C(=O)O)C1)c1sccc1C,0.96,valid
Cc1n[nH]c(C)c1[C@H](C)NC(=O)COc1cc(C(F)(F)F)c2c(-c3ccccc3)nn(C)c2n1,0.96,valid
Cc1ccccc1C(=O)Nc1cccc(NC(=O)CC(C)C)c1,0.96,valid
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,0.96,valid
Nc1nc2ccc(OC(F)(F)F)cc2s1,0.96,valid
CC(C)(C)N1CCC(c2ccccc2)(c2ccccc2)CC1,0.96,valid
CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,0.96,valid
CN(C)CCN(C)n1cc(-c2ccccc2)c2ccccc21,0.96,valid
COc1ccc2c(c1)N(CCN1CCC(NCc3ccc4c(n3)NC(=O)CO4)CC1)C(=O)CC2,0.96,valid
O=C(O[C@@H]1CC[C@@H](c2cccc(F)c2F)[C@H](O)c2cccnc21)N1CCC(n2c(=O)[nH]c3ncccc32)CC1,0.959,valid
CC1CN2c3c(cc4c(C(C)(C)C)noc4c3F)CC3(C(=O)NC(=O)NC3=O)C2C(C)O1,0.958,valid
OC[C@H](Nc1ncc(Cl)c(Nc2cc(C3CC3)[nH]n2)n1)c1ccc(F)cc1,0.956,valid
CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O,0.955,valid
COCCOc1cnc2ccc([C@H](C)n3nnc4ccn(-c5ccc(F)c(F)c5)c(=O)c43)cc2c1,0.955,valid
CN(C)C(=O)Cn1cc(-c2nc([C@@](C)(c3ccc(-c4cnc(N)nc4)cc3)C3CC3)no2)cn1,0.953,valid
CN(C)Cc1cccc(-c2ccc(Cn3cc(C(=O)O)c(=O)c4cccc(F)c43)cc2)c1,0.952,valid
O=C(O)c1cn(Cc2ccc(-c3cccnc3)cn2)c2c(F)cccc2c1=O,0.951,valid
CC(CN(C)C)CN1c2ccccc2CCc2ccccc21,0.95,valid
O=S(=O)(c1ccc(C(F)(F)F)cn1)N1CCC2(CC1)OC(c1cc(Cl)cc[n+]1[O-])c1ccccc12,0.95,valid
CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C,0.95,valid
CN1CCN(CCCN2c3ccccc3Sc3ccccc32)CC1,0.95,valid
CN1c2ccccc2C(NCCCCCCC(=O)O)c2ccc(Cl)cc2S1(=O)=O,0.95,valid
COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC,0.95,valid
O=[N+]([O-])c1ccc2c(ccn2-c2ccc(O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)c(F)c2)c1,0.95,valid
CN(C)CC=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC1CCOC1,0.95,valid
CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,0.95,valid
